"","lat","long","siteID","plotID","horizon","dnaSampleID","collectDate"
"119",42.392282,-72.254598,"HARV","HARV_013","O","HARV_013-O-20160803-COMP-DNA3",2016-08-03
"120",46.232249,-89.534573,"UNDE","UNDE_038","O","UNDE_038-O-20160810-COMP-DNA1",2016-08-10
"121",33.406134,-97.593996,"CLBJ","CLBJ_032","M","CLBJ_032-M-20170413-COMP-DNA1",2017-04-13
"122",40.81275,-104.696873,"CPER","CPER_004","M","CPER_004-M-20160719-COMP-DNA1",2016-07-19
"123",42.427091,-72.229737,"HARV","HARV_004","O","HARV_004-O-20160803-COMP-DNA1",2016-08-03
"124",28.039641,-81.393323,"DSNY","DSNY_005","M","DSNY_005-M-20160712-COMP-DNA3",2016-07-12
"125",44.041571,-71.28692,"BART","BART_004","M","BART_004-M-11-0-20140619-GEN-DNA2",2014-06-19
"126",31.82786,-88.181484,"LENO","LENO_005","M","LENO_005-M-20180709-COMP-DNA1",2018-07-09
"127",32.977665,-87.432705,"TALL","TALL_001","O","TALL_001-O-20170612-COMP-DNA1",2017-06-12
"128",32.950156,-87.397294,"TALL","TALL_051","M","TALL_051-M-20170614-COMP-DNA1",2017-06-14
"129",40.05035,-105.582964,"NIWO","NIWO_041","O","NIWO_041-O-20180731-COMP-DNA1",2018-07-31
"130",40.468561,-103.011749,"STER","STER_029","M","STER_029-M-20170605-COMP-DNA1",2017-06-05
"131",40.190515,-112.51523,"ONAQ","ONAQ_017","M","ONAQ_017-M-20160728-COMP-DNA1",2016-07-28
"132",46.231744,-89.53264,"UNDE","UNDE_044","M","UNDE_044-M-20180724-COMP-DNA1",2018-07-24
"133",46.256193,-89.515052,"UNDE","UNDE_008","M","UNDE_008-M-20180723-COMP-DNA1",2018-07-23
"134",31.821083,-88.182318,"LENO","LENO_004","M","LENO_004-M-20160830-COMP-DNA1",2016-08-30
"135",38.261284,-109.349483,"MOAB","MOAB_003","M","MOAB_003-M-20160727-COMP-DNA1",2016-07-27
"136",31.857054,-88.161742,"LENO","LENO_062","M","LENO_062-M-20160830-COMP-DNA1",2016-08-30
"137",35.6789,-83.645325,"GRSM","GRSM_006","O","GRSM_006-O-20160719-COMP-DNA1",2016-07-19
"138",32.630328,-106.86076,"JORN","JORN_004","M","JORN_004-M-20170808-COMP-DNA1",2017-08-08
"139",32.974426,-87.42694,"TALL","TALL_007","M","TALL_007-M-20170612-COMP-DNA1",2017-06-12
"140",31.855414,-88.160393,"LENO","LENO_063","M","LENO_063-M-20180709-COMP-DNA1",2018-07-09
"141",37.106602,-119.72024,"SJER","SJER_001","M","SJER_001-M-20170314-COMP-DNA1",2017-03-14
"142",46.234247,-89.542459,"UNDE","UNDE_043","M","UNDE_043-M-20160815-COMP-DNA1",2016-08-15
"143",32.977665,-87.432705,"TALL","TALL_001","M","TALL_001-M-20160823-COMP-DNA1",2016-08-23
"144",17.969254,-66.85267,"GUAN","GUAN_004","M","GUAN_004-M-20160927-COMP-DNA1",2016-09-27
"145",68.640255,-149.642461,"TOOL","TOOL_003","O","TOOL_003-O-20170726-COMP-DNA1",2017-07-26
"146",29.703861,-81.956817,"OSBS","OSBS_002","M","OSBS_002-M-20180709-COMP-DNA1",2018-07-09
"147",31.187671,-84.45585,"JERC","JERC_006","M","JERC_006-M-20170724-COMP-DNA1",2017-07-24
"148",44.041571,-71.28692,"BART","BART_004","O","BART_004-O-35-24-20140520-GEN-DNA2",2014-05-20
"149",45.49009,-89.590096,"TREE","TREE_050","M","TREE_050-M-20170710-COMP-DNA1",2017-07-10
"150",45.508883,-89.588327,"STEI","STEI_059","M","STEI_059-M-20170706-COMP-DNA1",2017-07-06
"151",46.248534,-89.520942,"UNDE","UNDE_034","M","UNDE_034-M-20160811-COMP-DNA1",2016-08-11
"152",44.041571,-71.28692,"BART","BART_004","M","BART_004-M-10-34-20140722-GEN-DNA2",2014-07-22
"153",68.616768,-149.629355,"TOOL","TOOL_004","M","TOOL_004-M-20170726-COMP-DNA1",2017-07-27
"154",17.973138,-66.861701,"GUAN","GUAN_003","M","GUAN_003-M-20160928-COMP-DNA1",2016-09-28
"155",35.982199,-84.212753,"ORNL","ORNL_002","M","ORNL_002-M-20170619-COMP-DNA1",2017-06-19
"156",37.106602,-119.72024,"SJER","SJER_001","O","SJER_001-O-20170314-COMP-DNA1",2017-03-14
"157",32.898842,-87.446131,"TALL","TALL_006","M","TALL_006-M-20170612-COMP-DNA1",2017-06-12
"158",32.540702,-87.80774,"DELA","DELA_041","M","DELA_041-M-20160824-COMP-DNA1",2016-08-24
"159",32.974426,-87.42694,"TALL","TALL_007","M","TALL_007-M-20160823-COMP-DNA1",2016-08-23
"160",40.041058,-105.547043,"NIWO","NIWO_002","O","NIWO_002-O-20170731-COMP-DNA1",2017-07-31
"161",68.658157,-149.362189,"TOOL","TOOL_044","O","TOOL_044-O-20170719-COMP-DNA1",2017-07-20
"162",39.088076,-96.570347,"KONZ","KONZ_003","M","KONZ_003-M-20170710-COMP-DNA1",2017-07-10
"163",35.686509,-83.506609,"GRSM","GRSM_059","O","GRSM_059-O-20160719-COMP-DNA1",2016-07-19
"164",40.055052,-105.561551,"NIWO","NIWO_006","M","NIWO_006-M-20160829-COMP-DNA1",2016-08-29
"165",31.808316,-88.188214,"LENO","LENO_003","M","LENO_003-M-20160829-COMP-DNA1",2016-08-29
"166",46.218529,-89.507901,"UNDE","UNDE_035","O","UNDE_035-O-20160803-COMP-DNA1",2016-08-03
"167",33.406134,-97.593996,"CLBJ","CLBJ_032","M","CLBJ_032-M-20160817-COMP-DNA1",2016-08-17
"168",33.321251,-97.57765,"CLBJ","CLBJ_034","M","CLBJ_034-M-20160817-COMP-DNA1",2016-08-17
"169",40.175366,-112.453933,"ONAQ","ONAQ_044","M","ONAQ_044-M-20180530-COMP-DNA1",2018-05-30
"170",40.15854,-112.521574,"ONAQ","ONAQ_008","M","ONAQ_008-M-20160730-COMP-DNA1",2016-07-30
