"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","sampleCode","cnSampleID","cnSampleCode","sampleType","acidTreatment","d15N","organicd13C","nitrogenPercent","organicCPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"ad8ba520-4ee9-4fac-a3dc-8c49347175de",2015-04-28,"BART_006.basePlot.bgc","D01","BART","BART_006","distributed",2014-08-20 14:00:00,"BART_006-M-13-6-20140820",NA,"BART_006-M-13-6-20140820-CN",NA,"soil","N",6,-27.4,0.14,3.12,23.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"0374f982-8bd7-489c-9116-a3630661824f",2015-04-28,"BART_006.basePlot.bgc","D01","BART","BART_006","distributed",2014-08-20 14:00:00,"BART_006-O-13-6-20140820",NA,"BART_006-O-13-6-20140820-CN",NA,"soil","N",1.1,-28.3,1.47,43.12,29.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"7261b5ce-58b0-49e6-8b37-f66d788b1fa6",2015-04-28,"BART_028.basePlot.bgc","D01","BART","BART_028","distributed",2014-08-20 14:32:00,"BART_028-M-30-27-20140820",NA,"BART_028-M-30-27-20140820-CN",NA,"soil","N",2.5,-27.2,0.29,6.71,23.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"5626cec1-7abd-4bf9-8aed-9b82f7ac9d2b",2015-04-28,"BART_028.basePlot.bgc","D01","BART","BART_028","distributed",2014-08-20 14:32:00,"BART_028-O-30-27-20140820",NA,"BART_028-O-30-27-20140820-CN",NA,"soil","N",-2.4,-27.9,2.07,50.21,24.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"d7d9fffc-8c1c-4308-b024-190135a41729",2015-04-28,"BART_006.basePlot.bgc","D01","BART","BART_006","distributed",2014-08-20 14:38:00,"BART_006-M-0-13-20140820",NA,"BART_006-M-0-13-20140820-CN",NA,"soil","N",6.9,-26.5,0.21,3.66,17.5,"OK","OK",NA,NA,1,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"c50ed7c7-9341-41c0-a759-32779780894c",2015-04-28,"BART_006.basePlot.bgc","D01","BART","BART_006","distributed",2014-08-20 14:38:00,"BART_006-M-0-13-20140820",NA,"BART_006-M-0-13-20140820-CN",NA,"soil","N",6.9,-26.5,0.2,3.58,17.5,"OK","OK",NA,NA,2,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"717b3292-58f0-4cad-b080-72b535c92f83",2015-04-28,"BART_028.basePlot.bgc","D01","BART","BART_028","distributed",2014-08-20 15:13:00,"BART_028-O-13-32-20140820",NA,"BART_028-O-13-32-20140820-CN",NA,"soil","N",-1.5,-27.1,1.43,47.97,33.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"7e6ea4e5-81f5-4d65-921b-b1d833c2d59f",2015-04-28,"BART_028.basePlot.bgc","D01","BART","BART_028","distributed",2014-08-20 15:13:00,"BART_028-M-13-32-20140820",NA,"BART_028-M-13-32-20140820-CN",NA,"soil","N",3.1,-26.4,0.24,6.01,24.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"aa385cbf-1cb9-47a2-9cab-7d25d4199c1c",2015-04-28,"BART_033.basePlot.bgc","D01","BART","BART_033","tower",2014-08-20 16:35:00,"BART_033-M-3-37-20140820",NA,"BART_033-M-3-37-20140820-CN",NA,"soil","N",6.8,-26.9,0.28,6.89,24.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"937569e1-2cd5-45fc-8724-95dba06b927a",2015-04-28,"BART_033.basePlot.bgc","D01","BART","BART_033","tower",2014-08-20 16:35:00,"BART_033-O-3-37-20140820",NA,"BART_033-O-3-37-20140820-CN",NA,"soil","N",2.2,-28.4,1.64,45.71,27.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
