"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","horizonTopDepth","horizonBottomDepth","nrcsDescriptionID","remarks","publicationDate","release"
"85e246fb-b11f-46b2-be3f-e396ad59e9dd","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BT1","Bt1",2015-06-16,2015-06-16,61,78,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"d85e2bfc-0844-49b6-aebe-19fcfdd45042","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BT2","Bt2",2015-06-16,2015-06-16,78,109,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"319dc2a8-3e8f-439f-ab26-d7c21d7b7b59","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BS1","Bs1",2015-06-16,2015-06-16,14,28,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"e544fb89-ca2f-483a-b2b6-0c38c72c60ce","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_C","Cd",2015-06-16,2015-06-16,148,200,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"3732524e-814a-41c4-b094-2af39896534a","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_BS","Bs",2015-06-15,2015-06-15,17,33,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"04ec2070-7367-4d3c-aea7-99bcd905ce3f","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_OA","Oa",2015-06-15,2015-06-15,0,2,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"e51329ae-2f89-48f1-9a4a-954074fc64db","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_3CD2","3Cd2",2015-06-15,2015-06-15,176,200,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"c49a9bb4-2f27-4aae-ba24-ec135cf65d60","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2BC","2BC",2015-06-15,2015-06-15,107,168,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"13e9b7b8-480d-491f-8321-54f79a3c19fd","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_E/B","E/B",2015-06-15,2015-06-15,52,66,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"b128e254-16e1-4469-a3ac-73485102bdec","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2E_AND_BT","2E and Bt",2015-06-15,2015-06-15,66,107,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"cde564fc-d44e-4351-aae9-9955284b787c","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_E1","E",2015-06-15,2015-06-15,33,52,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"a007b39a-c692-4fe1-a645-0ad08b3a5d8b","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_A/E","A/E",2015-06-15,2015-06-15,2,17,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"a0d03ac1-440b-4ed7-956b-f15e931adbfb","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_3CD1","3Cd1",2015-06-15,2015-06-15,168,176,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"74f64944-537d-4e5f-868c-d449e2b7e739","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_3C2","3C2",2013-09-09,2013-09-09,147,235,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"9b120ac8-fb02-4865-a922-01d2fb63be6b","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2C1","2C1",2013-09-09,2013-09-09,114,147,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"75eec57f-3113-4c36-8a35-8887c92271c9","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT1","2Bt1",2013-09-09,2013-09-09,57,83,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"8cb1f874-c224-4c53-8aa3-49f4ba71972f","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E/BX","E/Bx",2013-09-09,2013-09-09,48,57,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"9e1f827e-4a33-45ae-b4ba-dd6d2dfbf583","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","A",2013-09-09,2013-09-09,0,8,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"b50f7170-9d1d-4155-9f10-e75808ee0f6d","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT2","2Bt2",2013-09-09,2013-09-09,83,114,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"ddcf1b38-a0d9-4fa3-8318-b1181c1b619f","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E","E",2013-09-09,2013-09-09,15,23,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"c58bb572-2d5f-4181-b6e8-1daab60d4d83","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS2","BS2",2013-09-09,2013-09-09,31,48,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
"02330106-2045-42eb-ab19-b6f9be6b8e00","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS","Bs",2013-09-09,2013-09-09,8,15,"2013MI053001",NA,"20201217T020817Z","RELEASE-2021"
