"uid","domainID","siteID","pitNamedLocation","pitID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","soilSeries","soilFamily","soilSubgroup","soilGreatGroup","soilSuborder","soilOrder","samplingProtocolVersion","recordedByA","recordedByB","recordedByC","recordedByD","recordedByE","soilProfileDescriberA","soilProfileDescriberB","soilProfileDescriberC","soilProfileDescriberD","soilProfileDescriberE","soilProfileDescriberF","soilProfileDescriberInst","pitDepth","nrcsDescriptionID","publicationDate","release"
"00e84983-da95-410f-82bf-47767146e9b0","D08","LENO","MEGAPT100980","D08_LENO_PIT1",31.8531,-88.16103,NA,3.1,8,NA,2015-03-16,2015-03-16,"Urbo","Fine - mixed - active - acid - thermic Vertic Epiaquepts","Vertic Epiaquepts","Epiaquepts","Aquepts","Inceptisol","NEON.DOC.001307vB","Ed Ayres","Rommel Zulueta","Josh Roberti",NA,NA,"9vKYcOmIBs0yCu8yqHKUkg==","U7Ab4q+OyD8UtkdAJJtKa0czt1xo91ez","2oqad7FSHemNQjgsDt4WemTctL1tJlil","vzuRHoGC6/cD3t1o/tODmw==",NA,NA,"Natural Resource Conservation Service",200,"S2015AL023004","20201217T052600Z","RELEASE-2021"
"ab948e23-cb98-45f7-bb26-f15bd8abae8d","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1",32.95106,-87.3941,NA,2.9,154,NA,2014-01-13,2014-01-13,"Smithdale","Fine-loamy - siliceous - subactive - thermic Typic Hapludults","Typic Hapludults","Hapludults","Udult","Ultisol","NEON.DOC.001307vA","Rommel Zulueta","Ed Ayres",NA,NA,NA,"Sophp7FKFG2T8+9L8yLZBQ==","9vKYcOmIBs0yCu8yqHKUkg==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"S2014AL007001","20201217T034359Z","RELEASE-2021"
"c81e719f-8a34-422c-9f5a-95fcfdb0895f","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1",47.15919,-99.11251,NA,3,571,NA,2012-09-26,2012-09-26,"Max","Fine-loamy - mixed - superactive - frigid Typic Haplustolls","Typic Haplustolls","Haplustolls","Udoll","Mollisol","NEON.DOC.001307vA","Ed Ayres","Maheteme Gebramedhin",NA,NA,NA,"7AgVKccVZgxikGziHbr9pQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"12ND093002","20201216T224005Z","RELEASE-2021"
"55433ba8-38a2-46c8-b9c0-e3c34daeac39","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1",46.76846,-100.91832,NA,2,588,NA,2013-07-08,2013-07-08,"Farnuf","Fine-loamy - mixed - superactive - frigid Typic Argiustolls","Typic Argiustolls","Argiustolls","Ustoll","Mollisol","NEON.DOC.001307vA","Ed Ayres","Rommel Zulueta",NA,NA,NA,"pZUD854yiv3NH47P/RU1yQ==","VBtWg9Hui7Q=",NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2013ND059-001","20201217T032643Z","RELEASE-2021"
"0d7ecdf6-ce02-4979-bb81-aff129638bab","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1",47.12833,-99.23907,NA,3,588,NA,2012-09-18,2012-09-18,"Manning","Coarse-loamy over sandy or sandy-skeletal - mixed - superactive - frigid Typic Haplustolls","Typic Haplustolls","Haplustolls","Ustoll","Mollisol","NEON.DOC.001307vA","Ed Ayres","Maheteme Gebramedhin",NA,NA,NA,"iBjBhA4I8Ly9qMJnFsMd2Q==","b1WeJbkJDeS2rQzCqA7D5A==",NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"12ND093001","20201216T234629Z","RELEASE-2021"
"2dcb28b2-672c-497a-88ae-df7aae05ed14","D10","CPER","MEGAPT100967","10_CPER_PIT1",40.81297,-104.74455,NA,3,1548,NA,2012-08-13,2012-08-13,"Ascalon","Fine-loamy - mixed - superactive - mesic Aridic Argiustolls","Aridic Argiustolls","Argiustolls","Ustoll","Mollisol","NEON.DOC.001307vA","Ed Ayres","Maheteme Gebramedhin","Mike SanClements",NA,NA,"O4+vonUL7auarEjkIN/OQQ==","HI1UoNE9J7JguBOm3r3zew==",NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S12CO123001","20201216T233943Z","RELEASE-2021"
"397afab8-92f0-4717-87bb-d4b127399437","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1",40.27707,-105.54524,NA,3,2758,NA,2013-05-31,2013-05-31,"No series matches description","Loamy-skeletal - mixed - superactive Ustic Haplocryolls","Ustic Haplocryolls","Haplocryolls","Cryoll","Mollisol","NEON.DOC.001307vA","Ed Ayres","Rommel Zulueta","Josh Roberti",NA,NA,"O4+vonUL7auarEjkIN/OQQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"2013CO069001","20201217T032425Z","RELEASE-2021"
"3ea6adb3-9943-4f29-aa66-b0509cca96a7","D10","STER","MEGAPT100997","10_STERLING_PIT1",40.45984,-103.03008,NA,4,1369,NA,2013-04-08,2013-04-08,"Goshen","Fine-silty - mixed - superactive - mesic Pachic Argiustolls","Pachic Argiustolls","Argiustolls","Ustoll","Mollisol","NEON.DOC.001307vA","Ed Ayres","Derek Smith",NA,NA,NA,"O4+vonUL7auarEjkIN/OQQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2013CO075001","20201217T014504Z","RELEASE-2021"
"f0a3b16e-a66e-42d2-8e39-564b35f787cb","D11","CLBJ","MEGAPT100966","11_CLBJ_PIT1",33.40143,-97.56725,NA,4,288,NA,2016-05-09,2016-05-09,"Windthorst","Fine - mixed - active - thermic Udic Paleustalfs","Udic Paleustalfs","Paleustalfs","Ustalf","Alfisol","NEON.DOC.001307vB","Josh Roberti",NA,NA,NA,NA,"B3hLMlze6jL6IgLFD/gjHA==","EwS+OQUb4XbJ3YLUFkbThg==",NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2016TX497001","20201217T154655Z","RELEASE-2021"
"32576b17-5323-42c2-a099-b4265f3b3234","D11","OAES","MEGAPT100986","11_KLEMME_PIT1",35.41062,-99.06044,NA,2,515,NA,2013-02-19,2013-02-19,"Cordell - taxadjunct","Loamy - mixed - active - thermic Lithic Haplustepts","Lithic Haplustepts","Haplustepts","Ustept","Inceptisol","NEON.DOC.001307vA","Ed Ayres","Derek Smith",NA,NA,NA,"c1+iFwNEdSeIYujOmbKZfQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2013OK149001","20201217T014431Z","RELEASE-2021"
