"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","archiveID","archiveLaboratoryName","archiveTopDepth","archiveBottomDepth","remarks","sampleMass","publicationDate","release"
"24a7dcf5-2353-47b3-8f16-15413bc89fce","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG1","Btg1",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_85-131_BTG1","NEON",85,131,NA,3225.8,"20201217T043440Z","RELEASE-2021"
"1258f75a-87f2-4d4a-abcf-592e632400d3","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG2","Btg2",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_131-147_BTG2","NEON",131,147,NA,3309.1,"20201217T043440Z","RELEASE-2021"
"5a607a41-b071-47a7-8fd4-a6b8daf8b175","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT2","Bt2",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_60-75_BT2","NEON",60,75,NA,2962.8,"20201217T043440Z","RELEASE-2021"
"a20cc992-adb6-459a-a2cd-26d062e8e36d","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C","C",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_147-156_C1","NEON",147,156,NA,3324.5,"20201217T043440Z","RELEASE-2021"
"f9e31e25-614f-4d5b-8f2a-e40557af7a47","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","Bt3",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_75-85_BT3","NEON",75,85,NA,3334.6,"20201217T043440Z","RELEASE-2021"
"615605e4-9309-49d9-a8c6-7a6e54372781","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_E","E",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_23-37_E","NEON",23,37,NA,3600,"20201217T043440Z","RELEASE-2021"
"9258f7f7-3953-4ed0-993c-c468a79db533","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_CG","Cg",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_156-187_CG","NEON",156,187,NA,3192.7,"20201217T043440Z","RELEASE-2021"
"a11180b8-1f4d-4be5-b13d-a0b8b1f9780d","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_OE","Oe",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_0-2_O","NEON",0,2,NA,3600.1,"20201217T043440Z","RELEASE-2021"
"becc3b71-3174-4b8f-ad5b-a7067da657a7","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","Bt3",2014-05-05,2014-05-05,NA,NA,NA,NA,NA,NA,"20201217T043440Z","RELEASE-2021"
"4b0e26cf-44d9-46f1-b057-39460343fb3f","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_A","A",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_2-13_A","NEON",2,13,NA,2712.5,"20201217T043440Z","RELEASE-2021"
