"uid","domainID","siteID","plotID","namedLocation","collectDate","samplingProtocolVersion","horizon","ovenStartDate","ovenEndDate","sampleID","sampleCode","cnSampleID","cnSampleCode","bgcArchiveID","bgcArchiveCode","bgcArchiveMass","toxicodendronPossible","sampleCondition","bgcRemarks","processedBy","bgcDataQF","publicationDate","release"
"05543ec5-39de-4283-ada0-6cd05a5e247a","D05","STEI","STEI_008","STEI_008.basePlot.bgc",2015-07-27 16:24:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_008-M-7.5-4.5-20150727",NA,"STEI_008-M-7.5-4.5-20150727-CN",NA,"STEI_008-M-7.5-4.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"13453597-b67f-40e9-81cf-72618468f0f5","D05","STEI","STEI_008","STEI_008.basePlot.bgc",2015-07-27 16:24:00,"NEON.DOC.014048vF","O",NA,NA,"STEI_008-O-7.5-4.5-20150727",NA,NA,NA,"STEI_008-O-7.5-4.5-20150727-BA",NA,NA,NA,"OK","not analyzed for CN, archive only",NA,"legacyData","20201217T053236Z","RELEASE-2021"
"b02de380-256e-4ccf-adfb-bb42928644e7","D05","STEI","STEI_008","STEI_008.basePlot.bgc",2015-07-27 16:50:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_008-M-39-7-20150727",NA,"STEI_008-M-39-7-20150727-CN",NA,"STEI_008-M-39-7-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"fb59a30e-0f77-44ed-9f18-17922fd4c253","D05","STEI","STEI_004","STEI_004.basePlot.bgc",2015-07-27 18:12:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_004-M-38-20-20150727",NA,"STEI_004-M-38-20-20150727-CN",NA,"STEI_004-M-38-20-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"acb3390e-5a62-4b6f-8273-5369d13a2ab2","D05","STEI","STEI_004","STEI_004.basePlot.bgc",2015-07-27 18:31:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_004-M-1.5-5.5-20150727",NA,"STEI_004-M-1.5-5.5-20150727-CN",NA,"STEI_004-M-1.5-5.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"11e9e74a-e56f-4279-8f12-9ae202078c3c","D05","STEI","STEI_004","STEI_004.basePlot.bgc",2015-07-27 18:40:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_004-M-7-26.5-20150727",NA,"STEI_004-M-7-26.5-20150727-CN",NA,"STEI_004-M-7-26.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"295b1d80-2eab-4223-94ac-b02d55bca039","D05","STEI","STEI_002","STEI_002.basePlot.bgc",2015-07-27 19:35:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_002-M-34-18-20150727",NA,"STEI_002-M-34-18-20150727-CN",NA,"STEI_002-M-34-18-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"d829c5a4-e000-4eb6-8bd1-0bd8127e6bd7","D05","STEI","STEI_002","STEI_002.basePlot.bgc",2015-07-27 19:46:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_002-M-3.5-4-20150727",NA,"STEI_002-M-3.5-4-20150727-CN",NA,"STEI_002-M-3.5-4-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"c3d73416-203a-4877-8a02-384e0e4659f0","D05","STEI","STEI_002","STEI_002.basePlot.bgc",2015-07-27 19:56:00,"NEON.DOC.014048vF","O",NA,NA,"STEI_002-O-4.5-23.5-20150727",NA,NA,NA,"STEI_002-O-4.5-23.5-20150727-BA",NA,NA,NA,"OK","not analyzed for CN, archive only",NA,"legacyData","20201217T053236Z","RELEASE-2021"
"cb2449c8-84f5-48e3-8fb6-9b4ad553c8e9","D05","STEI","STEI_002","STEI_002.basePlot.bgc",2015-07-27 19:56:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_002-M-4.5-23.5-20150727",NA,"STEI_002-M-4.5-23.5-20150727-CN",NA,"STEI_002-M-4.5-23.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"0e9134f7-644b-4baa-8900-3fa9826dfb2d","D05","STEI","STEI_001","STEI_001.basePlot.bgc",2015-07-27 20:46:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_001-M-38.5-2.5-20150727",NA,"STEI_001-M-38.5-2.5-20150727-CN",NA,"STEI_001-M-38.5-2.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
