"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","poolSampleID","poolSampleCode","cnSampleID","cnSampleCode","sampleType","co2Trapped","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"76f39b28-5a39-4740-a3c9-5d670453cc16",2017-03-09,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:12:00,"BBC.BART044572.20160715.05-1.POOL",NA,"BBC.BART044572.20160715.05-1.POOL.CN",NA,"vegetation","N",-1.1,-28.7,0.8,49.5,62.8,"OK","OK",NA,NA,2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"fe5ff0cf-7c84-4830-9a72-53b20488be43",2017-04-18,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:12:00,"BBC.BART044572.20160715.2-10.POOL",NA,"BBC.BART044572.20160715.2-10.POOL.CN",NA,"vegetation","N",-0.7,-28.3,0.4,47.1,131.5,"OK","OK",NA,NA,2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"b0c28783-d2e9-4587-b0bf-ed4734efbff7",2017-03-31,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:36:00,"BBC.BART044259.20160715.05-1.POOL",NA,"BBC.BART044259.20160715.05-1.POOL.CN",NA,"vegetation","N",-1.1,-29.4,0.8,50.5,66.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"c89ef26f-ce7f-4a49-821b-97d996a55d84",2017-04-02,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:36:00,"BBC.BART044259.20160715.0-05.POOL",NA,"BBC.BART044259.20160715.0-05.POOL.CN",NA,"vegetation","N",-0.7,-28.7,1.1,49.1,44.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"f08a4d38-240c-4012-bbfa-54cb52f81b92",2017-04-18,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:36:00,"BBC.BART044259.20160715.2-10.POOL",NA,"BBC.BART044259.20160715.2-10.POOL.CN",NA,"vegetation","N",-2,-28.1,0.4,47.3,111.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"75f39e51-ca6e-417b-a676-4410288a8e30",2017-03-09,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:36:00,"BBC.BART044259.20160715.1-2.POOL",NA,"BBC.BART044259.20160715.1-2.POOL.CN",NA,"vegetation","N",-1.6,-28.6,0.5,49.2,92.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"647cf66f-58ba-4eeb-a808-b82387f7575f",2017-04-18,"BART_037.basePlot.bbc","D01","BART","BART_037","tower",2016-07-15 13:03:00,"BBC.BART037023.20160715.2-10.POOL",NA,"BBC.BART037023.20160715.2-10.POOL.CN",NA,"vegetation","N",-0.3,-28,0.5,47.5,105.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"8bb25b4f-6cb8-446f-9a58-63c1ffe37e9a",2017-03-10,"BART_037.basePlot.bbc","D01","BART","BART_037","tower",2016-07-15 13:03:00,"BBC.BART037023.20160715.0-05.POOL",NA,"BBC.BART037023.20160715.0-05.POOL.CN",NA,"vegetation","N",0.5,-28.2,1.2,49.4,41.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"79aa004a-02b0-4622-9bda-e01e191fea8c",2017-04-18,"BART_037.basePlot.bbc","D01","BART","BART_037","tower",2016-07-15 13:03:00,"BBC.BART037023.20160715.05-1.POOL",NA,"BBC.BART037023.20160715.05-1.POOL.CN",NA,"vegetation","N",-1.7,-27.9,0.7,48,71,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"a19b7f55-6fac-4d72-bd03-51eb83afa8f1",2017-04-18,"BART_037.basePlot.bbc","D01","BART","BART_037","tower",2016-07-15 13:03:00,"BBC.BART037023.20160715.1-2.POOL",NA,"BBC.BART037023.20160715.1-2.POOL.CN",NA,"vegetation","N",-2,-27.9,0.5,48.3,93,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
