,dnaSampleID,collectDate,long,lat,spi30d,spi90d,spi180d,spi270d,spi1y,spi2y,spi5y,spei30d,spei90d,spei180d,spei270d,spei1y,spei2y,spei5y,test
310,SOAP_043-M-20180531-COMP-DNA1,2018-05-31,-119.268722,37.034451,-1.690000057220459,0.7099999785423279,-0.029999999329447746,-0.3199999928474426,-0.3199999928474426,0.8999999761581421,-0.46000000834465027,-0.7099999785423279,0.7099999785423279,-0.10000000149011612,-0.3199999928474426,-0.46000000834465027,0.800000011920929,-0.5400000214576721,-119.268722
311,CLBJ_032-M-20180411-COMP-DNA1,2018-04-11,-97.593996,33.406134,-0.8999999761581421,0.38999998569488525,-0.46000000834465027,0.17000000178813934,0.23999999463558197,1.0099999904632568,1.690000057220459,-0.5400000214576721,0.10000000149011612,-0.38999998569488525,0.17000000178813934,0.17000000178813934,0.8999999761581421,1.690000057220459,-97.593996
312,HARV_002-O-20160809-COMP-DNA1,2016-08-09,-72.259572,42.478565,-0.38999998569488525,-2.0899999141693115,-2.0899999141693115,-2.0899999141693115,-1.4500000476837158,-1.690000057220459,-0.8999999761581421,-0.46000000834465027,-2.0899999141693115,-2.0899999141693115,-2.0899999141693115,-2.0899999141693115,-2.0899999141693115,-1.2799999713897705,-72.259572
313,JERC_050-M-20170725-COMP-DNA1,2017-07-25,-84.468201,31.196845,0.17000000178813934,0.38999998569488525,-1.1299999952316284,-0.029999999329447746,-0.7099999785423279,-0.3199999928474426,2.0899999141693115,0.3199999928474426,0.38999998569488525,-1.0099999904632568,-0.38999998569488525,-0.800000011920929,-0.5400000214576721,2.0899999141693115,-84.468201
314,ABBY_062-M-20170606-COMP-DNA1,2017-06-06,-122.328069,45.763476,-0.46000000834465027,2.0899999141693115,1.0099999904632568,1.4500000476837158,1.4500000476837158,2.0899999141693115,2.0899999141693115,-0.6200000047683716,1.690000057220459,1.0099999904632568,1.2799999713897705,1.4500000476837158,0.7099999785423279,-1.4500000476837158,-122.328069
315,HARV_034-O-20180709-COMP-DNA1,2018-07-10,-72.177968,42.535686,0.800000011920929,-0.3199999928474426,0.4699999988079071,0.800000011920929,0.17000000178813934,0.029999999329447746,-1.0099999904632568,0.38999998569488525,-0.6200000047683716,0.23999999463558197,0.4699999988079071,-0.46000000834465027,-0.5400000214576721,-1.690000057220459,-72.177968
316,CLBJ_033-O-20160815-COMP-DNA1,2016-08-15,-97.620209,33.380971,0.6299999952316284,1.0099999904632568,1.1299999952316284,1.690000057220459,1.4500000476837158,2.0899999141693115,1.0099999904632568,0.10000000149011612,0.800000011920929,1.0099999904632568,1.4500000476837158,1.2799999713897705,2.0899999141693115,1.0099999904632568,-97.620209
317,ORNL_021-O-20170619-COMP-DNA1,2017-06-19,-84.221347,35.955641,0.38999998569488525,1.0099999904632568,0.7099999785423279,0.3199999928474426,-0.029999999329447746,0.23999999463558197,2.0899999141693115,0.029999999329447746,0.7099999785423279,0.38999998569488525,-0.17000000178813934,-0.8999999761581421,-0.38999998569488525,-0.800000011920929,-84.221347
318,SCBI_003-M-20170717-COMP-DNA1,2017-07-17,-78.120371,38.883308,-0.3199999928474426,0.8999999761581421,0.6299999952316284,0.029999999329447746,0.5400000214576721,0.7099999785423279,0.7099999785423279,-0.6200000047683716,1.0099999904632568,0.17000000178813934,-0.3199999928474426,0.10000000149011612,0.17000000178813934,0.23999999463558197,-78.120371
319,SJER_025-M-20170315-COMP-DNA1,2017-03-15,-119.759842,37.127266,-0.029999999329447746,2.0899999141693115,1.690000057220459,1.690000057220459,1.690000057220459,1.1299999952316284,-0.6200000047683716,0.23999999463558197,2.0899999141693115,1.690000057220459,1.690000057220459,1.4500000476837158,0.7099999785423279,-0.6200000047683716,-119.759842
