"","soilID","domainID","plotID","collectDate","mean_cn","mean_OrgC","mean_Org13C","mean_15n","mean_N"
"265","JERC_005-M","D03","JERC_005",2014-08-05,34.1,1.20333333333333,-26.2,4.33333333333333,0.04
"266","JERC_005-M","D03","JERC_005",2019-07-29,29.0333333333333,1.35,-27.1666666666667,2.3,0.0466666666666667
"267","JERC_006-M","D03","JERC_006",2014-08-05,26.175,1.1725,-26.3,3.8,0.045
"268","JERC_006-M","D03","JERC_006",2019-07-29,30.0333333333333,1.13333333333333,-26.3666666666667,2.76666666666667,0.04
"269","JERC_008-M","D03","JERC_008",2014-08-05,25.1333333333333,0.92,-26,3.76666666666667,0.0333333333333333
"270","JERC_047-M","D03","JERC_047",2014-08-05,22,0.72,-25.2333333333333,3.23333333333333,0.03
"271","JERC_047-M","D03","JERC_047",2019-07-30,24.6,0.986666666666667,-25.6,2.73333333333333,0.04
"272","JERC_048-M","D03","JERC_048",2014-08-05,25.575,1.055,-24.425,4.25,0.04
"273","JERC_048-M","D03","JERC_048",2019-07-30,27.275,1.2375,-26.125,3.525,0.045
"274","JERC_049-M","D03","JERC_049",2014-08-05,26.1666666666667,1.12666666666667,-25.4333333333333,3.43333333333333,0.04
"275","JERC_049-M","D03","JERC_049",2019-07-30,27.6333333333333,0.833333333333333,-26.1333333333333,4,0.0266666666666667
"276","JERC_050-M","D03","JERC_050",2019-07-30,19.8333333333333,1.05666666666667,-26.4,2.7,0.0566666666666667
"277","JORN_001-M","D14","JORN_001",2016-07-19,NA,0.1725,-20.575,7.725,0.0275
"278","JORN_001-M","D14","JORN_001",2017-08-08,NA,0.0966666666666667,-22.3,6,0.0233333333333333
"279","JORN_002-M","D14","JORN_002",2016-07-19,NA,0.386666666666667,-21.6666666666667,6.36666666666667,0.0233333333333333
"280","JORN_002-M","D14","JORN_002",2017-08-08,NA,0.0875,-23.75,5.425,0.0275
"281","JORN_003-M","D14","JORN_003",2016-07-19,NA,0.103333333333333,-19.5666666666667,6.43333333333333,0.0266666666666667
"282","JORN_003-M","D14","JORN_003",2017-08-08,NA,0.075,-22.375,5.55,0.0275
"283","JORN_004-M","D14","JORN_004",2016-07-19,NA,0.16,-19.4333333333333,6.33333333333333,0.03
"284","JORN_004-M","D14","JORN_004",2017-08-08,NA,0.13,-20.4,5.73333333333333,0.0366666666666667
"285","JORN_005-M","D14","JORN_005",2016-07-19,NA,0.27,-19.5666666666667,6.4,0.0233333333333333
"286","JORN_005-M","D14","JORN_005",2017-08-08,NA,0.156666666666667,-20.6666666666667,5.56666666666667,0.0233333333333333
"287","JORN_006-M","D14","JORN_006",2016-07-19,NA,0.286666666666667,-20.1666666666667,5.16666666666667,0.0233333333333333
"288","JORN_006-M","D14","JORN_006",2017-08-08,NA,0.0766666666666667,-22.2333333333333,5.03333333333333,0.03
"289","JORN_042-M","D14","JORN_042",2016-07-19,NA,0.163333333333333,-19.5333333333333,5.46666666666667,0.0266666666666667
"290","JORN_042-M","D14","JORN_042",2017-08-08,NA,0.143333333333333,-20.7,4.93333333333333,0.0266666666666667
"291","JORN_044-M","D14","JORN_044",2016-07-19,NA,0.5125,-18.075,5.675,0.035
"292","JORN_044-M","D14","JORN_044",2017-08-08,NA,0.1,-21.7666666666667,4.66666666666667,0.0233333333333333
"293","JORN_045-M","D14","JORN_045",2016-07-19,NA,0.623333333333333,-21.2666666666667,5.6,0.0266666666666667
"294","JORN_045-M","D14","JORN_045",2017-08-08,NA,0.12,-21.8333333333333,4.73333333333333,0.0333333333333333
"295","JORN_047-M","D14","JORN_047",2016-07-19,NA,0.216666666666667,-19,5.36666666666667,0.03
"296","JORN_047-M","D14","JORN_047",2017-08-08,NA,0.1,-21.3,5.36666666666667,0.0366666666666667
"297","KONA_001-M","D06","KONA_001",2019-06-19,8.875,0.9575,-17.4,6.2,0.11
"298","KONA_002-M","D06","KONA_002",2019-06-17,10.05,1.38,-17.95,6.9,0.135
"299","KONA_003-M","D06","KONA_003",2019-06-17,10.0333333333333,1.62666666666667,-18.8333333333333,6.2,0.163333333333333
"300","KONA_004-M","D06","KONA_004",2019-06-19,9.76666666666667,1.16666666666667,-16.7333333333333,6.66666666666667,0.12
"301","KONA_005-M","D06","KONA_005",2019-06-17,9.86666666666667,1.36666666666667,-16.4666666666667,8,0.136666666666667
"302","KONA_006-M","D06","KONA_006",2019-06-17,8.73333333333333,1.00333333333333,-21.4666666666667,5.03333333333333,0.116666666666667
"303","KONA_048-M","D06","KONA_048",2019-06-18,10.4666666666667,1.28666666666667,-16.8,6.5,0.123333333333333
"304","KONA_054-M","D06","KONA_054",2019-06-18,9.875,1.345,-18.85,5.875,0.135
"305","KONA_057-M","D06","KONA_057",2019-06-18,9.3,1.08666666666667,-17.6333333333333,6.76666666666667,0.116666666666667
"306","KONA_059-M","D06","KONA_059",2019-06-18,11.5666666666667,1.97333333333333,-18.2,6.43333333333333,0.173333333333333
"307","KONZ_001-M","D06","KONZ_001",2015-08-19,NA,3.8425,-15.6,3.875,0.3425
"308","KONZ_001-M","D06","KONZ_001",2017-07-10,NA,4.36666666666667,-15.5666666666667,3.6,0.326666666666667
"309","KONZ_002-M","D06","KONZ_002",2015-08-24,NA,4.16666666666667,-15.9666666666667,3.46666666666667,0.336666666666667
"310","KONZ_002-M","D06","KONZ_002",2017-07-10,NA,4.625,-15.625,2.55,0.3625
"311","KONZ_003-M","D06","KONZ_003",2015-08-19,NA,4.81,-17.125,3.4,0.406666666666667
"312","KONZ_003-M","D06","KONZ_003",2017-07-10,NA,6.01,-18.3333333333333,2.23333333333333,0.46
"313","KONZ_004-M","D06","KONZ_004",2015-08-24,NA,2.75333333333333,-16.4333333333333,2.53333333333333,0.27
"314","KONZ_004-M","D06","KONZ_004",2017-07-10,NA,4.12,-15.7333333333333,2.63333333333333,0.313333333333333
"315","KONZ_005-M","D06","KONZ_005",2015-08-19,NA,3.56333333333333,-16.3,4.33333333333333,0.296666666666667
"316","KONZ_005-M","D06","KONZ_005",2017-07-10,NA,4.05666666666667,-17,3.5,0.373333333333333
"317","KONZ_024-M","D06","KONZ_024",2015-08-24,NA,5.51,-18.0666666666667,3.73333333333333,0.396666666666667
"318","KONZ_024-M","D06","KONZ_024",2017-07-10,NA,4.65333333333333,-15.5666666666667,3.5,0.343333333333333
"319","KONZ_042-M","D06","KONZ_042",2015-08-20,NA,4.41,-15.5666666666667,4.56666666666667,0.353333333333333
"320","KONZ_042-M","D06","KONZ_042",2017-07-12,NA,4.64666666666667,-15.8,3.26666666666667,0.343333333333333
"321","KONZ_043-M","D06","KONZ_043",2015-08-20,NA,4.516,-17.12,3.975,0.3875
"322","KONZ_043-M","D06","KONZ_043",2017-07-11,NA,4.04666666666667,-16.9,3.7,0.35
"323","KONZ_045-M","D06","KONZ_045",2015-08-20,NA,5.28666666666667,-15.3666666666667,3.23333333333333,0.38
"324","KONZ_045-M","D06","KONZ_045",2017-07-12,NA,4.99,-16.475,3.05,0.38
"325","KONZ_046-M","D06","KONZ_046",2015-08-20,NA,4.01666666666667,-17.4333333333333,3.9,0.383333333333333
"326","KONZ_046-O","D06","KONZ_046",2015-08-20,NA,NA,NA,0.0666666666666667,0.95
"327","LENO_001-M","D08","LENO_001",2018-07-11,9.43333333333333,1.47666666666667,-27.3666666666667,5.36666666666667,0.153333333333333
"328","LENO_002-M","D08","LENO_002",2018-07-09,9.7,2.24,-26.1666666666667,7.03333333333333,0.23
"329","LENO_003-M","D08","LENO_003",2018-07-09,10.3333333333333,2.63333333333333,-26.7,7.63333333333333,0.256666666666667
"330","LENO_004-M","D08","LENO_004",2018-07-09,10.8,1.3,-26.2,5.525,0.1225
"331","LENO_005-M","D08","LENO_005",2018-07-09,11.2,0.993333333333333,-27.6333333333333,4.56666666666667,0.0866666666666667
"332","LENO_006-M","D08","LENO_006",2018-07-09,9.7,2.38333333333333,-26.5666666666667,6.96666666666667,0.243333333333333
"333","LENO_061-M","D08","LENO_061",2018-07-09,9.23333333333333,1.74666666666667,-25.7333333333333,6.83333333333333,0.19
"334","LENO_062-M","D08","LENO_062",2018-07-09,10.0333333333333,1.34666666666667,-25.9,5.8,0.133333333333333
"335","LENO_063-M","D08","LENO_063",2018-07-09,13.525,1.745,-26.55,4.475,0.13
"336","LENO_064-M","D08","LENO_064",2018-07-09,10.9,1.00333333333333,-25.9,5.96666666666667,0.09
"337","MLBS_001-M","D07","MLBS_001",2018-06-11,13.9,2.32,-26.3,6.7,0.166666666666667
"338","MLBS_001-O","D07","MLBS_001",2018-06-11,16.1666666666667,6.57333333333333,-27.1,3,0.41
"339","MLBS_002-M","D07","MLBS_002",2018-06-12,19.2,13.0825,-27.3,4.45,0.7125
"340","MLBS_002-O","D07","MLBS_002",2018-06-12,20.3333333333333,37.4566666666667,-27.7666666666667,0.333333333333333,1.81666666666667
"341","MLBS_003-M","D07","MLBS_003",2018-06-12,14.5,5.29666666666667,-26.1,6.6,0.366666666666667
"342","MLBS_003-O","D07","MLBS_003",2018-06-12,18.4333333333333,20.6166666666667,-26.8666666666667,3.43333333333333,1.12333333333333
"343","MLBS_005-M","D07","MLBS_005",2018-06-11,20.2,3.56333333333333,-26.9333333333333,6.06666666666667,0.18
"344","MLBS_005-O","D07","MLBS_005",2018-06-11,19.6,5.88333333333333,-27.5666666666667,2.96666666666667,0.3
"345","MLBS_006-M","D07","MLBS_006",2018-06-12,13.1333333333333,1.04666666666667,-26.3333333333333,4.96666666666667,0.0833333333333333
"346","MLBS_006-O","D07","MLBS_006",2018-06-12,21.3666666666667,11.9966666666667,-28.1333333333333,1.46666666666667,0.513333333333333
"347","MLBS_007-M","D07","MLBS_007",2018-06-12,20.9333333333333,1.32,-26.9666666666667,8.03333333333333,0.0633333333333333
"348","MLBS_007-O","D07","MLBS_007",2018-06-12,25.6,11.555,-27.9,2.7,0.4325
"349","MLBS_061-M","D07","MLBS_061",2018-06-12,20.4,2.28333333333333,-26.9333333333333,6.36666666666667,0.11
"350","MLBS_061-O","D07","MLBS_061",2018-06-12,21.7333333333333,18.4,-27.6,2.26666666666667,0.823333333333333
"351","MLBS_063-M","D07","MLBS_063",2018-06-12,17.55,1.9425,-26.825,6.8,0.1125
"352","MLBS_063-O","D07","MLBS_063",2018-06-12,20.4666666666667,11.1633333333333,-27.6333333333333,1.63333333333333,0.556666666666667
"353","MLBS_064-M","D07","MLBS_064",2018-06-12,16.7333333333333,1.74333333333333,-26.3666666666667,7.73333333333333,0.103333333333333
"354","MLBS_064-O","D07","MLBS_064",2018-06-12,19.85,9.63,-27.5,2.075,0.4825
"355","MLBS_067-M","D07","MLBS_067",2018-06-12,17.9666666666667,2.89666666666667,-26.8333333333333,6.86666666666667,0.163333333333333
"356","MLBS_067-O","D07","MLBS_067",2018-06-12,20.7666666666667,19.3166666666667,-27.5333333333333,2.16666666666667,0.936666666666667
"357","MOAB_001-M","D13","MOAB_001",2016-07-27,NA,0.373333333333333,-19.8,7.33333333333333,0.06
"358","MOAB_001-M","D13","MOAB_001",2017-05-21,NA,0.253333333333333,-21.5333333333333,6.875,0.045
"359","MOAB_002-M","D13","MOAB_002",2016-07-26,NA,0.226666666666667,-22.7333333333333,7.03333333333333,0.0333333333333333
"360","MOAB_002-M","D13","MOAB_002",2017-05-22,NA,0.1125,-21.15,7.3,0.0333333333333333
