,ID,AGS,bp,Genomes,reads,GC,GC_bact,AA_CN
41,BMI_18S_05_0385,6743713.92676,2112047275,313.187554801,2000000,0.5938285211111803,0.5964177673908729,3.5631357844773217
42,BMI_Plate19WellC9_mms,7424527.3168399995,1795845442,241.88010433,2000000,0.6122307699206172,0.6217191750239064,3.5072082923222867
43,BMI_Plate67WellC3,7212990.82797,3712160674,514.649299096,2000000,0.5986619586226807,0.6009788178099079,3.5420398259700803
44,BMI_Plate19WellD12_mms,6374580.16386,1357548031,212.962735757,2000000,0.6376002451771667,0.6420108197280211,3.5223846824180907
45,BMI_Plate69WellD1,7600112.84776,3676136890,483.695040276,2000000,0.6545176568582126,0.6570872666705919,3.4964692241366615
46,BMI_Plate19WellC4_mms,7339476.494510001,2019226223,275.118562545,2000000,0.6121516234716378,0.6316787798670255,3.4999550408786084
47,BMI_Plate69WellC1,7234119.24714,5149200525,711.793702742,2000000,0.6427931926899401,0.6552710798890764,3.5242925908167435
48,BMI_Plate71WellF12,5036329.97893,2415912285,479.696980759,2000000,0.648696168656335,0.6625758140221166,3.5024774999837374
49,BMI_Plate61WellF2,7883363.46258,3278016436,415.814449195,2000000,0.6411753461563673,0.6478011354354148,3.4987805651547164
50,BMI_Plate61WellG7,6038222.97537,3457686076,572.633056133,2000000,0.6189107877795549,0.6212089588431849,3.528467709860018
51,BMI_Plate41WellF4,8463627.79195,2556203138,302.022158918,2000000,0.5939044999073682,0.600330758573413,3.5487309190046865
52,BMI_Plate41WellG1,8425284.2121,601633829,71.4081345928,2000000,0.5475682141062068,0.5879428250718056,3.52048077198855
53,BMI_Plate19WellC7_mms,6470518.89894,1725261105,266.634118831,2000000,0.6413297794668493,0.643398448378151,3.4760789093525464
54,BMI_Plate19WellE9_mms,6319424.63245,1462603514,231.445677268,2000000,0.6473567051057552,0.6493196196363075,3.5282924490246965
55,BMI_Plate61WellA3,6178770.35731,4322851750,699.629780686,2000000,0.6162612918574071,0.6229623889379805,3.5333251927281317
56,BMI_Plate67WellC2,6980267.349719999,3864740605,553.666559083,2000000,0.6385744027061729,0.6414190796620609,3.514788402841343
57,BMI_18S_05_0391,6974672.28847,2293609167,328.848306005,2000000,0.6135797697288196,0.6168900618984458,3.5563585502978072
