"","plotID","horizon","year","collectDate","mean_pH_CaCl","mean_pH_water","sd_pH_CaCl","sd_pH_water"
"5178","STER_018","M",2014,2014-10-14,4.72666666666667,7.32333333333333,0.376873099774093,0.789957804780315
"5179","STER_018","M",2016,2016-04-19,6.47666666666667,7.43666666666667,0.724177694584232,0.540030863315546
"5180","STER_018","M",2016,2016-08-15,6.12,6.87333333333333,0.320468407179241,0.150111069989303
"5181","STER_026","M",2014,2014-05-30,6.05,6.63333333333333,0.185202591774521,0.0450924975282289
"5182","STER_026","M",2014,2014-06-19,6.09666666666667,6.53666666666667,0.22300971578237,0.0981495457622363
"5183","STER_026","M",2014,2014-07-22,5.745,6.61,0.0919238815542511,0.0141421356237313
"5184","STER_026","M",2014,2014-07-23,6.14,6.63,NA,NA
"5185","STER_026","M",2014,2014-08-20,5.74666666666667,6.61,0.184481254693623,0.17058722109232
"5186","STER_026","M",2014,2014-09-17,6.14666666666667,6.53,0.323470761172217,0.265141471671257
"5187","STER_026","M",2014,2014-10-14,5.06333333333333,7.07333333333333,0.648254065419827,0.68478707152905
"5188","STER_026","M",2016,2016-04-21,6.65,7.48666666666667,0.503884907493765,0.513939036592214
"5189","STER_026","M",2016,2016-08-16,5.61666666666667,6.26,0.00577350269189613,0.0953939201416948
"5190","STER_026","M",2016,2016-11-30,5.94666666666667,7.22333333333333,0.34210134950528,0.359212100761282
"5191","STER_026","M",2017,2017-04-10,6.46333333333333,7.28,0.576223336331785,0.602245796996542
"5192","STER_026","M",2017,2017-06-05,6.24333333333333,7.41666666666667,0.378197479279454,0.208406653764541
"5193","STER_026","M",2017,2017-10-18,6.04333333333333,6.97,0.344286702231343,0.216564078277077
"5194","STER_026","M",2018,2018-04-24,6.11,7,0.35028559776274,0.355105618091294
"5195","STER_026","M",2018,2018-07-19,6.165,7.095,0.502045814642449,0.431335136523794
"5196","STER_026","M",2018,2018-10-17,6.29,7.13666666666667,0.271845544381364,0.372066302335126
"5197","STER_026","M",2019,2019-04-23,6.12333333333333,6.77666666666667,0.474271370982198,0.125033328890074
