"","plotID","horizon","lipids_total","lipid_fungi_perc","lipid_gram_pos_perc","lipid_gram_neg_perc","lipid_FtoB"
"119","HARV_035","M",774.373333333333,11.62,12.0883333333333,8.235,0.557333333333333
"120","HARV_035","O",3206.61285714286,12.3228571428571,11.2671428571429,7.93571428571429,0.613714285714286
"121","HARV_037","M",1410.50333333333,11.5416666666667,10.9383333333333,9.20166666666667,0.583
"122","HARV_037","O",3584.884,11.458,11.624,10.67,0.4998
"123","JERC_001","M",37.67,10.5933333333333,23.8766666666667,16.9566666666667,0.256444444444444
"124","JERC_002","M",40.0677777777778,12.4766666666667,21.07,17.3111111111111,0.324222222222222
"125","JERC_003","M",62.1055555555556,11.85,21.2866666666667,17.3733333333333,0.303444444444444
"126","JERC_004","M",34.01,10.5122222222222,23.0477777777778,15.9077777777778,0.266111111111111
"127","JERC_005","M",41.5244444444444,12.5233333333333,21.6366666666667,17.8988888888889,0.312
"128","JERC_006","M",40.2322222222222,13.49,20.7355555555556,17.2977777777778,0.347333333333333
"129","JERC_047","M",38.99,13.36,21.8455555555556,17.2955555555556,0.336333333333333
"130","JERC_047","O",299.91,12.56,18.24,16.83,0.349
"131","JERC_048","M",43.3722222222222,12.0688888888889,23,18.3077777777778,0.288777777777778
"132","JERC_049","M",35.6355555555556,14.1077777777778,21.6688888888889,17.3611111111111,0.362111111111111
"133","JERC_050","M",43.7944444444444,13.1722222222222,22.0244444444444,17.6211111111111,0.330444444444444
"134","JORN_001","M",28.7844444444444,5.91555555555556,17.1311111111111,15.1733333333333,0.191222222222222
"135","JORN_002","M",38.4922222222222,5.94111111111111,15.7166666666667,16.7211111111111,0.184444444444444
"136","JORN_003","M",45.487,7.131,14.272,18.035,0.2271
"137","JORN_004","M",47.7022222222222,6.07888888888889,14.8155555555556,20.2255555555556,0.176111111111111
"138","JORN_005","M",36.6288888888889,5.86555555555556,14.3211111111111,20.8933333333333,0.174
"139","JORN_006","M",43.3055555555556,7.69777777777778,15.2066666666667,17.7411111111111,0.243333333333333
"140","JORN_042","M",41.71,7.25,14.2488888888889,17.5777777777778,0.250777777777778
"141","JORN_044","M",47.7988888888889,7.03888888888889,13.8644444444444,17.1866666666667,0.236111111111111
"142","JORN_045","M",43.7233333333333,7.16555555555556,13.9555555555556,19.1833333333333,0.220777777777778
"143","JORN_047","M",46.0244444444444,7.88111111111111,14.3144444444444,19.9255555555556,0.244888888888889
"144","KONA_001","M",35.7755555555556,7.83111111111111,28.6488888888889,19.7288888888889,0.161666666666667
"145","KONA_002","M",39.75,7.52875,30.1175,19.3475,0.15
"146","KONA_003","M",54.3044444444444,8.31333333333333,27.8433333333333,19.56,0.175444444444444
"147","KONA_004","M",39.0966666666667,6.73555555555556,29.1122222222222,18.9077777777778,0.139555555555556
"148","KONA_005","M",52.7888888888889,7.02555555555556,28.5666666666667,18.1477777777778,0.148444444444444
