"","siteID","horizon","mega_coarseFrag2To5","mega_coarseFrag5To20","mega_sandTotal","mega_siltTotal","mega_clayTotal","mega_carbonateClay","mega_clayFineContent","mega_siltFineContent","mega_siltCoarseContent","mega_sandVeryFineContent","mega_sandFineContent","mega_sandMediumContent","mega_sandCoarseContent","mega_sandVeryCoarseContent","mega_carbonTot","mega_nitrogenTot","mega_sulfurTot","mega_estimatedOC","mega_airDryOvenDry","mega_alMjelm","mega_caMjelm","mega_feMjelm","mega_kMjelm","mega_mgMjelm","mega_mnMjelm","mega_naMjelm","mega_pMjelm","mega_siMjelm","mega_srMjelm","mega_tiMjelm","mega_zrMjelm","mega_phCacl2","mega_phH2o","mega_ec12pre","mega_gypsumConc","mega_caco3Conc","mega_caNh4d","mega_kNh4d","mega_mgNh4d","mega_naNh4d","mega_cecdNh4","mega_alSatCecd33","mega_baseSumCecd10","mega_bsesatCecd10","mega_ececCecd33","mega_alKcl","mega_feKcl","mega_mnKcl","mega_bSatx","mega_brSatx","mega_caSatx","mega_clSatx","mega_co3Satx","mega_ecSatp","mega_flSatx","mega_waterSatx","mega_hco3Sx","mega_kSatx","mega_mgSatx","mega_naSatx","mega_no2Satx","mega_no3Satx","mega_pSatx","mega_phSp","mega_so4Satx","mega_cton"
"55","TEAK","M",71.5,65.1666666666667,79.2666666666667,18.05,2.68333333333333,NA,NA,8.85,9.2,12.5833333333333,23.05,20.0333333333333,14.4333333333333,9.16666666666667,51.9333333333333,2.11666666666667,0,52,1.0145,52844.5,18380.1666666667,25009.8333333333,17743.8333333333,4321.33333333333,614.666666666667,15500.8333333333,628.333333333333,270198.666666667,215.333333333333,3146.16666666667,33.1666666666667,4.85,5.63333333333333,0.13,NA,NA,2.6,0.116666666666667,0.0166666666666667,0,15.75,27.8333333333333,2.73333333333333,16.6666666666667,3.71666666666667,0.983333333333333,NA,1.75,NA,0,0.2,0.3,0,0.1,0,44.95,0.15,0.05,0,0,0,0.1,0,5.3,0,24.5354330708661
"56","TOOL","M",30,35,45.1,36.9,18,NA,NA,24.1,12.8,10.9,14.6,10.4,5.2,4,15.2,0.7,0.1,15,1.007,33466,778,18899,5625,2430,82,3540,403,313761,41,3385,83,4,4.8,0.07,NA,NA,0.2,0.1,0.3,0,6.2,73,0.6,10,2.2,1.6,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7142857142857
"57","TOOL","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.6,12.2666666666667,1.26666666666667,396.666666666667,1.07066666666667,21688.6666666667,2731,14567.6666666667,4605.33333333333,1784,740.666666666667,966.666666666667,1220.66666666667,66801.6666666667,25,1252.33333333333,33.6666666666667,4.1,4.7,1.44333333333333,0,NA,10,2.8,5.06666666666667,0,60.5333333333333,20.3333333333333,17.8666666666667,29.6666666666667,22.1,4.23333333333333,NA,33.2666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3315217391304
"58","TREE","M",17.5,37,72.35,21.3,6.35,NA,NA,11.65,9.65,3.75,17,38.7,10.7,2.2,17,1.25,0,17,1.016,37708,4177,16309.5,14628.5,2242.5,634.5,6905,365,344334.5,93,2647,101.5,4.75,5.45,0.06,NA,NA,2.5,0.15,0.4,0,7.35,21.5,3.05,39.5,3.65,0.6,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6
"59","TREE","O",16,13,83.2,12,4.8,NA,NA,6.9,5.1,3,17.8,56.7,4.8,0.9,29.6,1.9,0.1,30,1.015,35506,4616,13443,14278,1943,757,7034,392,334432,96,2044,52,5.3,5.8,0.2,NA,NA,4.1,0.4,0.8,0,7.3,NA,5.3,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5789473684211
"60","UKFS","M",120.5,5,8.25,53.85,37.9,1.6,NA,35.5,18.35,6.55,1.1,0.25,0.2,0.15,59,6.9,0.4,57.5,1.064,62560.5,13478.5,32481.5,19134.5,5881,1020.5,5698,749.5,272409.5,125,4222.5,171,7.3,7.85,0.275,NA,10,53.9,0.95,2.9,0,38.8,NA,57.75,100,NA,NA,NA,NA,NA,0,7,0.3,0,0.71,0,77.1,5.6,0.2,0.7,0,0.7,0,0,7.5,0.5,8.55072463768116
"61","UNDE","M",25,45.8,58.16,36.94,4.9,NA,NA,15.04,21.9,15.62,23.02,15.64,3.18,0.7,32.26,1.86,0.22,32.2,1.0176,37672.4,5208.8,21313.8,14873.2,3600,296.2,8262.6,400.8,333592.2,76,4550.8,220.8,4.7,5.68,0.048,NA,NA,1.7,0.1,0.42,0,9.16,53.4,2.22,21.6,4.04,1.82,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3440860215054
"62","WOOD","M",77,95.5,57.3,24.65,18.05,NA,NA,14.1,10.55,5.95,15.35,16.75,11.45,7.8,40.95,3.45,0.55,40,1.02,46153.5,12307.5,21211,13604.5,5378,1474.5,11174.5,606.5,301080.5,172.5,2155,88.5,6.8,7.5,0.275,NA,10,20.65,0.9,5.55,0,23.5,NA,27.1,100,NA,NA,NA,NA,NA,0,5.8,0.6,0,0.69,1.9,88,4.5,0.8,2.5,0,0,0,0,6.6,0.5,11.8695652173913
"63","WOOD",NA,179,134,73.7,17.4,8.9,0,NA,9.1,8.3,4.9,15.2,21.2,17.1,15.3,30.8,1.6,0.2,16,1.012,43943,42784,26190,11049,15941,2064,11620,696,268931,188,1767,68,7.4,8.1,0.2,NA,130,26.2,0.2,5.6,0,11.9,NA,32,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.25
"64","WREF","M",60.6,7.4,46.46,38.98,14.56,NA,NA,26.06,12.92,7.78,9.98,12.48,9.76,6.46,15.2,1.12,0.14,15,1.0276,91764.6,15208.8,46446.6,9340.6,7826.2,561.8,19273.6,899.6,238623.2,300.2,6307.8,115.2,4.74,5.32,0.022,NA,NA,0,0.2,0,0,13.2,85.8,0.2,1.8,1.4,1.2,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5714285714286
"65","WREF","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536.8,13.2,1.1,537,1.091,8084.5,4776,3539.5,2017,1038.5,489,1617,975,24734,54,535,10,3.3,3.95,1.64,0,NA,13.15,2.15,2.85,0.15,90.3,18,18.35,21,22.15,3.8,NA,399.65,NA,0,1,0.7,0,0.585,1.15,528.65,0,1.5,0.5,0.6,0,0,3.2,3.85,0.2,40.6666666666667
"66","YELL","M",70.5,87,37.6,39.95,22.45,0,NA,24.75,15.2,10.7,10.7,5.65,5.3,5.25,62.25,5.1,0.35,62,1.049,68456,21876.5,29337,22186.5,8732.5,805,16663,1252.5,256623,402.5,3549,111.5,6.1,6.7,0.27,NA,NA,29.8,2.8,5.05,0,34.1,NA,37.65,100,NA,NA,NA,NA,NA,0,3.7,0.3,0,0.67,0.3,156.5,4,2.3,1.4,0.2,0,0,0.6,6.5,0.2,12.2058823529412
