"","siteID","plotID","root_d15N_m","root_d13C_m","root_NPerc","root_CPerc","root_CN","root_live_mass","root_dead_mass","root_liveC","root_liveN","root_d15N_m_Coarse","root_d15N_m_Fine","root_d13C_m_Coarse","root_d13C_m_Fine","root_NPerc_Coarse","root_NPerc_Fine","root_CPerc_Coarse","root_CPerc_Fine","root_CN_Coarse","root_CN_Fine","root_live_mass_Coarse","root_live_mass_Fine","root_dead_mass_Coarse","root_dead_mass_Fine","root_liveN_Coarse","root_liveN_Fine","root_liveC_Coarse","root_liveC_Fine"
"413","TOOL","TOOL_063",0.722584062108432,-27.0122653817834,0.927201116091613,46.9637138465116,53.4163603012414,3.87065,0.890933333333333,1.81780099,0.03588871,0.55,0.763405478795623,-27.15,-26.9796869259644,0.7,0.98094113888667,47.725,46.7836463541251,68.25,49.9077501796981,0.7404,3.13025,0.131633333333333,0.7593,0.0051828,0.03070591,0.3533559,1.46444509
"414","TOOL","TOOL_064",-2.5439752604646,-27.7080642786143,0.828013106063395,48.4540098663623,61.9727276074071,2.7163,1.0077,1.31615627,0.02249132,-3.5,-2.30954891354176,-28.1,-27.6119579169341,0.68,0.864307325570734,48.84,48.359361419272,71.4,59.6610708719171,0.5349,2.1814,0.16185,0.84585,0.00363732,0.018854,0.26124516,1.05491111
"415","TOOL","TOOL_065",0.941409977766119,-26.7112593369807,0.94715706113068,46.7627142821454,55.2410077693672,4.0029,0.29565,1.87186469,0.03791375,-0.6,1.12518104291905,-26.4,-26.7483685167063,0.6,0.988546064588285,49.5,46.4363676778974,83,51.93150566196,0.4264,3.5765,0,0.29565,0.0025584,0.03535535,0.211068,1.66079669
"416","TOOL","TOOL_066",-3.07264729620662,-28.0216545601291,0.7217866559053,48.8225133171913,71.5075087436104,1.8585,0.53055,0.90736641,0.013414405,-3.6,-2.82289486203616,-28.1,-27.9845504281637,0.57,0.793672296225817,50.46,48.0470052331113,88.8,63.3178441167142,0.5973,1.2612,0.2173,0.31325,0.00340461,0.010009795,0.30139758,0.60596883
"417","TOOL","TOOL_067",0.756506291079812,-25.5290388732394,0.812092544600939,46.4200440938967,59.6095699530516,6.65625,0.796566666666667,3.089834185,0.05405491,-1.5,1.43560378778254,-25.7,-25.4775879760381,0.73,0.836798366054589,46.6,46.3658862101652,64.1,58.258171192917,1.5398,5.11645,0.1717,0.624866666666667,0.01124054,0.04281437,0.7175468,2.372287385
"418","TOOL","TOOL_068",0.676315440605529,-26.7510564558384,0.847929889461955,47.8422800760067,60.3967810765938,7.92035,1.5254,3.78927603,0.067159015,-0.8,1.21025246490678,-27.6,-26.4440201834389,0.69,0.905048180653813,49.63,47.1957178100797,72.4,56.0555929959685,2.1037,5.81665,0.18295,1.34245,0.01451553,0.052643485,1.04406631,2.74520972
"419","TOOL","TOOL_069",-2.05281492622251,-28.2194605910329,0.819081338156985,51.1727650298768,66.0792610056502,2.4601,0.3411,1.2589011925,0.02015022,-2.7,-1.59836360491265,-28.1,-28.3033454419651,0.64,0.944831690019028,51.68,50.8165862307559,81.1,55.5317453727729,1.01485,1.44525,0.02345,0.31765,0.00649504,0.01365518,0.52447448,0.7344267125
"420","TOOL","TOOL_070",-1.41520680928102,-28.2720719722161,0.793609510086455,49.3595834257001,64.680674554792,3.6088,1.9993,1.78128864666667,0.02863978,-2.3,-0.888690072781919,-27.8,-28.5529893626425,0.63,0.89096914871674,50.57,48.6392969325515,79.6,55.8025834634764,1.34633333333333,2.26246666666667,0.7772,1.2221,0.0084819,0.02015788,0.680840766666667,1.10044788
"421","UKFS","UKFS_031",-2.80233672456129,-27.4930976323569,1.84415969362799,43.3442623956498,26.6716443938405,1.69800833333333,0.271041666666667,0.73541383,0.0314215183333333,-3,-2.64482559951087,-27.5333333333333,-27.4610351740477,1.21666666666667,2.34418749301869,44.3566666666667,42.5375119490644,36.4666666666667,18.8663250968565,0.753025,0.944983333333333,0.10215,0.168891666666667,0.0091681375,0.0222533808333333,0.3343793725,0.4010344575
"422","UKFS","UKFS_032",-2.49802604582856,-28.6708568199325,0.608790143187266,46.0342120021021,83.2819061399909,2.31515,0.919691666666667,1.065926045,0.0142133025,-2.7,-1.9805046930297,-28.55,-28.9805303380007,0.485,0.925979766117864,46.53,44.7638458480792,95.8,51.2065779350669,1.66525,0.6499,0.33035,0.589341666666667,0.0081072,0.0061061025,0.77605803,0.289868015
