,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
283,K01061,,0.3840951555169522,0.6174623111544054,,,,,12.9168,160.20440000000002,,,
284,K01069,,,0.6605655194450312,,,,,,42.8669,,,
285,K01070,,,0.6178453128937034,,,,,,17.1538,,,
286,K01075,,,0.613,,,,,,6.5095,,,
287,K01077,,,0.6384519429712064,,,0.5920000000000001,,,15.8598,,,3.7613
288,K01079,,0.355,0.6484972668738124,,,,,7.4619,22.7899,,,
289,K01082,,,0.698,,,,,,4.0475,,,
290,K01083,,,0.6108832087215084,,,0.6709999999999999,,,6.2357000000000005,,,4.0601
291,K01091,,,0.6370314016573755,,,,,,17.4824,,,
292,K01092,,,0.6320927150760428,,,,,,4.5117,,,
293,K01095,,,0.6166670442817642,,,,,,6.4793,,,
294,K01104,,,0.6816933510343505,,,,,,21.11,,,
295,K01113,,0.3807979887530386,0.6086011695143474,,,,,10.5092,49.8137,,,
296,K01114,,,0.6885268515571329,,,,,,8.6238,,,
297,K01118,,,0.6056848447146171,,,,,,5.346299999999999,,,
298,K01126,,,0.598670973579383,,,,,,31.712999999999997,,,
299,K01129,,,0.6888979388068616,,,,,,93.6883,,,
300,K01142,,,0.5610995805771071,,,,,,13.2224,,,
301,K01151,,,0.6529805551607252,,,,,,35.306,,,
302,K01153,,0.613,,,,,,7.0322,,,,
303,K01159,,,0.6656125637943954,,,0.6586922387907975,,,79.82029999999999,,,20.735400000000002
304,K01160,,,0.616,,,,,,6.9937,,,
305,K01166,,,0.6286899432410687,,,,,,10.1281,,,
306,K01167,,,0.6409999999999999,,,,,,1.8212,,,
307,K01170,,0.35940300404270453,,,,,,10.9632,,,,
308,K01173,,,0.528,,,,,,2.6631,,,
309,K01174,,,0.6589031612402494,,,,,,18.1384,,,
310,K01179,,,0.5976322989491105,,,,,,22.788500000000003,,,
311,K01181,,,0.6398908296040202,,,0.551,,,18.5029,,,7.5933
312,K01183,,,0.46299999999999997,,,,,,3.6496,,,
313,K01185,,,0.5894779657149377,,,,,,5.3537,,,
314,K01198,,,0.5999177901770317,,,,,,17.8589,,,
315,K01206,,,0.5342996519480896,,,,,,69.99919999999999,,,
316,K01207,,,0.6209729695328496,,,,,,7.2041,,,
317,K01209,,,0.5636519911186221,,,,,,76.62639999999999,,,
318,K01218,,,0.47083004688533964,,,,,,10.966000000000001,,,
319,K01236,,,0.7390000000000001,,,,,,10.8875,,,
320,K01239,,,0.5526696384030465,,,,,,44.76190000000001,,,
321,K01241,,,0.5502677412749819,,,,,,11.1838,,,
322,K01246,,0.31365154094747916,0.6266078836709437,,,,,15.1426,104.9702,,,
323,K01247,,0.45398009703028125,0.6598236297347028,,,,,7.513199999999999,20.939799999999998,,,
324,K01251,,0.3871707565440631,0.6446675924409426,,,,,31.318199999999997,320.05060000000003,,,
325,K01255,,0.383,0.6604623103065944,,,,,5.9344,14.126000000000001,,,
326,K01259,,,0.6566630287229719,,,,,,19.1449,,,
327,K01262,,,0.645,,,,,,6.5046,,,
328,K01265,,,0.6423870947438219,,,,,,101.33040000000003,,,
329,K01266,,,0.6280246187516841,,,0.4680000000000001,,,71.84969999999998,,,2.4842
330,K01273,,,0.5908932484706007,,,,,,74.80629999999998,,,
331,K01283,,,0.6282422145599602,,,,,,31.9437,,,
332,K01286,,,0.5361408714001559,,,,,,24.078,,,
333,K01295,,,0.728196090160626,,,,,,14.3338,,,
334,K01297,,,0.6319526847167924,,,,,,56.4427,,,
335,K01299,,0.389,0.5057394309257185,,,,,16.7913,21.6789,,,
336,K01304,,,0.6359188996258877,,,,,,17.095599999999997,,,
337,K01318,,,0.555,,,,,,1.7906,,,
338,K01356,,,0.6755855729165475,,,,,,74.08619999999999,,,
339,K01358,,,0.6222817307204662,,,,,,474.4004,,,
340,K01372,,,0.581,,,,,,5.8628,,,
341,K01406,,0.403,0.6624652421551299,,,,,4.4099,52.3643,,,
342,K01409,,0.39511325369476713,0.6435777163079759,,,,,9.3828,71.0525,,,
343,K01417,,,0.405,,,,,,2.2222,,,
344,K01419,,,0.6386072578247568,,,,,,84.412,,,
345,K01423,,,0.5963919698262826,,,,,,15.703100000000001,,,
346,K01424,,0.425,0.5336295633980148,,,,,2.476,28.1205,,,
347,K01425,,,0.6315652609020365,,,,,,34.6454,,,
348,K01426,,,0.6489544084244643,,,,,,43.6066,,,
349,K01429,0.443,,,,,,2.9621,,,,,
350,K01430,,,0.6370560177812483,,,,,,10.5487,,,
351,K01431,,,0.509,,,,,,2.8321,,,
352,K01432,,,0.6180272102013153,,,,,,8.6015,,,
353,K01433,,0.34,,,,,,5.0028,,,,
354,K01443,,,0.6863606478997369,,,,,,52.73780000000001,,,
355,K01447,,,0.6276105545969627,,,,,,28.1425,,,
356,K01448,,,0.5990468039170812,,,,,,81.81639999999999,,,
357,K01449,,,0.6386288114939235,,,,,,15.3855,,,
358,K01455,,,0.6838903097668007,,,,,,63.94109999999999,,,
359,K01456,,0.3383851895504721,,,,,,8.9937,,,,
360,K01458,,,0.6510806594308216,,,,,,10.828000000000001,,,
361,K01462,,,0.6510970714611631,,,,,,112.23930000000001,,,
362,K01464,,,0.524,,,,,,4.4682,,,
363,K01465,,,0.6392054133004239,,,,,,15.4591,,,
364,K01470,,0.3626658442982085,0.6369453534764808,,,,,23.236499999999996,79.3616,,,
365,K01476,,0.381,0.5757411303876431,,,,,6.1647,11.4279,,,
366,K01477,,,0.6258004586072113,,,,,,22.418100000000003,,,
367,K01478,,,0.709465526990408,,,,,,43.6417,,,
368,K01480,,,0.7075501591420336,,,,,,24.425599999999996,,,
369,K01482,,,0.569632947070348,,,,,,5.8934,,,
370,K01483,,,0.654,,,,,,1.4645,,,
371,K01485,,,0.6371211555079119,,,,,,25.344,,,
372,K01488,,,0.46878355695034485,,,,,,11.9636,,,
373,K01489,,,0.6581767648432881,,,,,,26.095399999999998,,,
374,K01493,,0.417,0.5909490822174831,,,,,2.7755,8.4962,,,
375,K01494,,,0.6290133520139142,,,,,,165.8379,,,
376,K01495,,0.38100000000000006,0.6302277129094985,,,,,7.7026,151.2271,,,
377,K01496,,,0.7053211749436153,,,,,,19.2977,,,
378,K01497,,,0.6631811282052879,,,,,,119.25760000000001,,,
379,K01500,,,0.514,,,,,,6.4265,,,
380,K01507,,0.3371537525557927,0.6446923961784133,,,,,11.1046,138.29150000000004,,,
381,K01512,,0.34785318306459273,0.6367076477937075,,,,,8.7867,13.0662,,,
382,K01515,,,0.3970371311913895,,,,,,6.5424,,,
383,K01518,,,,,,0.306,,,,,,3.2044
384,K01520,,,0.7007764015712042,,0.463,0.5,,,28.276,,8.5763,11.8994
385,K01523,,,0.6313866240096189,,,,,,21.8966,,,
386,K01524,,,0.6656424802598409,,,,,,14.0355,,,
387,K01525,,,0.7070000000000001,,,,,,3.8403,,,
388,K01545,,,,,,0.57,,,,,,1.7994
389,K01546,,,0.6412844394013396,,,,,,69.7822,,,
390,K01547,,,0.7,,,,,,9.1994,,,
391,K01548,,,0.6431427610763683,,,,,,18.9677,,,
392,K01551,,,0.5915098056103066,,,,,,103.87859999999999,,,
393,K01555,,,0.7340000000000001,,,,,,4.7663,,,
394,K01556,,,0.6199839275264234,,,,,,28.4275,,,
395,K01560,,,0.6381420989910553,,,0.531,,,40.2738,,,2.748
396,K01561,,,0.6476501154779882,,,,,,33.377,,,
397,K01563,,,0.713,,,,,,6.8793,,,
398,K01569,,,0.625,,,,,,6.2176,,,
399,K01574,,,0.6096167645554235,,,,,,13.4208,,,
400,K01575,,,0.6931918123328579,,,,,,10.8576,,,
401,K01579,,,0.6158736472852181,,,,,,17.7834,,,
402,K01586,,,0.632,,,,,,8.3566,,,
403,K01588,,0.37665547916900516,0.6430662531322568,,,,,6.0678,30.4298,,,
404,K01589,,0.366,0.653,,,,,3.1474,7.2567,,,
405,K01591,,,0.6243007214192493,,,,,,11.3428,,,
406,K01595,,,0.609713730654441,,,,,,162.31990000000008,,,
407,K01596,,,0.6829999999999999,,,,,,52.5517,,,
408,K01599,,,0.6625757760675614,,,,,,22.291500000000003,,,
409,K01601,,,0.588,,,,,,8.0813,,,
410,K01602,,,0.58,,,,,,2.8694,,,
411,K01607,,,0.6213730460133194,,,0.6891448503012665,,,261.909,,,15.3659
412,K01610,,0.37999583884682087,0.6225253057058419,,,,,10.8195,210.20940000000002,,,
413,K01611,,,0.5857412845349155,,,,,,21.919999999999998,,,
414,K01613,,,0.6376486630730879,,0.51,,,,41.6767,,4.6801,
415,K01619,,0.551,0.6537181694668625,,,,,5.3803,104.4938,,,
416,K01620,,,0.6425746792554298,,,,,,70.33619999999999,,,
417,K01621,,,0.6359284475742691,,,,,,197.5872,,,
418,K01622,,0.414,0.637,,,,,6.5958,2.9295,,,
419,K01623,,,0.6290987526699738,,,,,,139.72830000000002,,,
